protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
SPRY4_HUMAN,SPRY domain-containing protein 4 OS=Homo sapiens GN=SPRYD4 PE=1 SV=2,24.64,11.3361,0.2635,23.67,1.0822,0.0252,30.43,4.9681,0.1155,NaN,NaN,NaN,28.02,38.1572,0.8869,23.67,29.7516,0.6915
1B52_HUMAN,HLA class I histocompatibility antigen_ B-52 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,22.1,NaN,NaN,NaN,NaN,NaN,20.99,NaN,NaN,18.51,NaN,NaN,22.93,NaN,NaN,39.5,NaN,NaN
GRPE1_HUMAN,GrpE protein homolog 1_ mitochondrial OS=Homo sapiens GN=GRPEL1 PE=1 SV=2,57.6,309.5502,7.5862,NaN,NaN,NaN,63.13,148.109,3.6297,49.77,79.0664,1.9377,57.6,127.6435,3.1282,40.55,216.1692,5.2977
LMAN1_HUMAN,Protein ERGIC-53 OS=Homo sapiens GN=LMAN1 PE=1 SV=2,28.24,72.6224,4.2001,NaN,NaN,NaN,36.86,22.6014,1.3071,22.94,83.6893,4.8401,12.55,38.297,2.2149,23.14,57.5858,3.3304
CLIC4_HUMAN,Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4,45.85,349.5183,10.1361,45.45,26.0166,0.7545,NaN,NaN,NaN,28.85,29.8123,0.8646,31.23,72.9047,2.1143,30.83,58.3033,1.6908
TMX1_HUMAN,Thioredoxin-related transmembrane protein 1 OS=Homo sapiens GN=TMX1 PE=1 SV=1,33.93,202.1361,6.5069,NaN,NaN,NaN,47.5,98.6156,3.1745,46.43,62.3718,2.0078,43.93,58.6574,1.8882,28.21,89.3833,2.8773
CHP1_HUMAN,Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3,48.21,73.6435,1.6538,NaN,NaN,NaN,35.38,30.1432,0.6769,61.03,25.5555,0.5739,52.82,36.6036,0.822,58.97,52.808,1.1859
SRS10_HUMAN,Serine/arginine-rich splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1,33.21,113.0443,3.5448,NaN,NaN,NaN,50.76,38.683,1.213,32.44,15.8275,0.4963,22.52,67.0809,2.1035,24.81,28.5446,0.8951
AKA12_HUMAN,A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4,42.59,313.0349,60.1191,NaN,NaN,NaN,36.59,151.4089,29.0784,42.99,137.7847,26.4619,41.25,322.6592,61.9674,40.01,521.1981,100.0973
MGN2_HUMAN,Protein mago nashi homolog 2 OS=Homo sapiens GN=MAGOHB PE=1 SV=1,56.76,NaN,NaN,NaN,NaN,NaN,53.38,39.3968,0.6829,52.7,32.6038,0.5651,39.19,NaN,NaN,55.41,192.3448,3.3339
GMPR2_HUMAN,GMP reductase 2 OS=Homo sapiens GN=GMPR2 PE=1 SV=1,10.63,23.0273,0.884,21.26,10.9154,0.419,NaN,NaN,NaN,9.48,16.4508,0.6315,16.09,13.4673,0.517,19.25,5.0013,0.192
ZO1_HUMAN,Tight junction protein ZO-1 OS=Homo sapiens GN=TJP1 PE=1 SV=3,45.14,140.0196,27.416,NaN,NaN,NaN,40.39,93.2782,18.264,22.6,41.6398,8.1531,38.67,69.3015,13.5693,43.08,172.1855,33.7141
DNJB6_HUMAN,DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2,23.31,36.624,1.3237,NaN,NaN,NaN,32.21,13.6779,0.4944,39.88,6.1329,0.2217,23.93,5.6309,0.2035,16.56,26.1484,0.9451
GLYG_HUMAN,Glycogenin-1 OS=Homo sapiens GN=GYG1 PE=1 SV=4,24.57,98.6071,3.9173,18,9.0822,0.3608,14.57,23.0815,0.9169,25.14,29.4011,1.168,NaN,NaN,NaN,27.14,57.4586,2.2826
CNPY2_HUMAN,Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1,15.93,26.5802,0.558,NaN,NaN,NaN,33.52,15.2766,0.3207,20.88,5.4336,0.1141,8.79,17.3743,0.3648,8.79,31.2029,0.6551
H1T_HUMAN,Histone H1t OS=Homo sapiens GN=HIST1H1T PE=2 SV=4,32.37,77.5457,1.7075,NaN,NaN,NaN,47.34,0.8356,0.0184,28.02,4.9463,0.1089,36.23,99.9431,2.2007,41.55,152.295,3.3534
PFD3_HUMAN,Prefoldin subunit 3 OS=Homo sapiens GN=VBP1 PE=1 SV=3,37.06,133.6824,3.0518,NaN,NaN,NaN,69.54,101.5429,2.3181,36.55,81.0485,1.8503,32.49,63.8064,1.4566,48.22,129.6691,2.9602
RM40_HUMAN,39S ribosomal protein L40_ mitochondrial OS=Homo sapiens GN=MRPL40 PE=1 SV=1,56.8,77.3248,1.8937,NaN,NaN,NaN,16.99,11.251,0.2755,26.21,7.7216,0.1891,26.7,8.4009,0.2057,33.01,83.3829,2.0421
ARP3B_HUMAN,Actin-related protein 3B OS=Homo sapiens GN=ACTR3B PE=2 SV=1,14.11,1.1531,0.0555,NaN,NaN,NaN,31.58,0.9911,0.0477,19.14,15.2656,0.7346,16.99,1.0888,0.0524,7.89,NaN,NaN
PSF1_HUMAN,DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1,52.04,42.4833,0.9887,NaN,NaN,NaN,37.24,14.05,0.327,21.94,30.3423,0.7062,28.57,6.5682,0.1529,50.51,12.0093,0.2795
S10AB_HUMAN,Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2,45.71,773.3893,9.1682,21.9,9.7071,0.1151,40,10.4193,0.1235,15.24,55.7189,0.6605,NaN,NaN,NaN,72.38,115.0044,1.3633
OCRL_HUMAN,Inositol polyphosphate 5-phosphatase OCRL-1 OS=Homo sapiens GN=OCRL PE=1 SV=3,26.53,120.3173,12.6886,36.63,29.8066,3.1434,18.31,45.0423,4.7501,NaN,NaN,NaN,19.42,13.4531,1.4188,16.2,37.5574,3.9608
PSD1_HUMAN,PH and SEC7 domain-containing protein 1 OS=Homo sapiens GN=PSD PE=1 SV=2,10.06,8.0819,0.8904,21.29,1.9237,0.2119,20.02,17.5125,1.9294,NaN,NaN,NaN,15.82,11.4475,1.2612,9.28,28.4743,3.137
RALY_HUMAN,RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1,73.86,300.5515,9.774,NaN,NaN,NaN,39.54,43.6228,1.4186,42.48,45.7793,1.4888,20.26,43.8047,1.4245,34.97,58.2308,1.8937
THIO_HUMAN,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,45.71,249.4482,2.999,29.52,76.897,0.9245,34.29,40.8118,0.4907,NaN,NaN,NaN,42.86,389.2273,4.6795,50.48,551.5106,6.6306
MAOX_HUMAN,NADP-dependent malic enzyme OS=Homo sapiens GN=ME1 PE=1 SV=1,34.79,109.4424,7.0831,NaN,NaN,NaN,19.41,49.2727,3.1889,29.9,47.7956,3.0933,22.38,71.0501,4.5984,31.64,94.2332,6.0988
BIEA_HUMAN,Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2,30.74,86.4307,2.9139,30.41,13.1402,0.443,NaN,NaN,NaN,19.26,22.5077,0.7588,30.41,40.4598,1.364,34.12,66.6825,2.2481
UT14A_HUMAN,U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens GN=UTP14A PE=1 SV=1,37.09,65.5329,5.7767,NaN,NaN,NaN,32.17,34.411,3.0333,22.05,16.2977,1.4366,25.42,36.5752,3.2241,39.3,46.7522,4.1212
3BP1_HUMAN,SH3 domain-binding protein 1 OS=Homo sapiens GN=SH3BP1 PE=1 SV=3,32.1,57.9135,4.4046,NaN,NaN,NaN,27.39,33.3726,2.5382,23.25,16.6337,1.2651,23.11,20.8268,1.584,26.11,38.3126,2.9139
1B57_HUMAN,HLA class I histocompatibility antigen_ B-57 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,25.97,NaN,NaN,NaN,NaN,NaN,15.47,NaN,NaN,17.13,NaN,NaN,11.6,NaN,NaN,48.34,NaN,NaN
RMXL2_HUMAN,RNA-binding motif protein_ X-linked-like-2 OS=Homo sapiens GN=RBMXL2 PE=1 SV=3,49.23,342.3766,14.7172,NaN,NaN,NaN,32.4,2.3012,0.0989,29.08,2.143,0.0921,26.53,6.1861,0.2659,45.41,22.758,0.9783
GSTK1_HUMAN,Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1 PE=1 SV=3,48.67,252.6158,6.4697,NaN,NaN,NaN,62.83,107.8554,2.7623,48.23,19.5458,0.5006,49.12,51.5685,1.3207,38.94,94.1423,2.4111
DD19A_HUMAN,ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,40.79,93.8189,5.1067,NaN,NaN,NaN,28.87,23.9199,1.302,41.84,8.8809,0.4834,35.36,30.0844,1.6375,47.91,87.0169,4.7364
UBA5_HUMAN,Ubiquitin-like modifier-activating enzyme 5 OS=Homo sapiens GN=UBA5 PE=1 SV=1,33.42,72.862,3.3021,NaN,NaN,NaN,23.27,34.4595,1.5617,25.5,22.5748,1.0231,17.33,29.8679,1.3536,11.39,45.6209,2.0675
RM44_HUMAN,39S ribosomal protein L44_ mitochondrial OS=Homo sapiens GN=MRPL44 PE=1 SV=1,32.23,132.0633,5.0022,NaN,NaN,NaN,23.8,28.1644,1.0668,24.1,13.4422,0.5092,19.28,26.2172,0.993,30.12,25.2881,0.9579
SUMO1_HUMAN,Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1,79.21,84.8132,0.985,NaN,NaN,NaN,27.72,13.1335,0.1525,21.78,47.1272,0.5473,25.74,23.8528,0.277,58.42,163.2724,1.8963
CISD1_HUMAN,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens GN=CISD1 PE=1 SV=1,47.22,144.7239,1.7903,NaN,NaN,NaN,48.15,43.0745,0.5328,17.59,15.7324,0.1946,25.93,119.6727,1.4804,49.07,77.8155,0.9626
SART3_HUMAN,Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1,37.28,127.9952,14.1806,NaN,NaN,NaN,31.57,35.004,3.8781,29.18,21.6842,2.4024,27.31,44.8166,4.9652,38.94,76.8057,8.5093
MYH10_HUMAN,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3,40.23,175.9099,40.4538,NaN,NaN,NaN,40.49,27.5801,6.3426,30.72,45.6241,10.4921,33.45,117.0235,26.9118,34.06,93.1462,21.4207
MTFP1_HUMAN,Mitochondrial fission process protein 1 OS=Homo sapiens GN=MTFP1 PE=1 SV=1,34.94,49.6364,0.8968,NaN,NaN,NaN,25.3,12.5521,0.2268,24.1,9.4776,0.1712,30.12,17.7263,0.3203,25.9,15.3983,0.2782
ABCD3_HUMAN,ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1,25.49,304.468,23.1363,NaN,NaN,NaN,24.43,46.3693,3.5236,20.94,46.4327,3.5284,18.97,108.8666,8.2727,26.71,39.0053,2.964
GAK_HUMAN,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=1 SV=2,12.97,105.7038,15.2925,NaN,NaN,NaN,26.39,23.5639,3.4091,16.4,23.3321,3.3755,18.69,33.07,4.7843,21.82,42.9558,6.2146
FAF1_HUMAN,FAS-associated factor 1 OS=Homo sapiens GN=FAF1 PE=1 SV=2,36.15,358.0665,26.6439,NaN,NaN,NaN,23.38,26.1548,1.9462,13.69,15.4044,1.1463,13.85,19.753,1.4698,18.62,69.2697,5.1544
RGAP1_HUMAN,Rac GTPase-activating protein 1 OS=Homo sapiens GN=RACGAP1 PE=1 SV=1,24.21,43.8823,3.1468,10.76,44.9643,3.2244,NaN,NaN,NaN,20.09,48.5832,3.484,21.52,21.1057,1.5135,28.48,67.8749,4.8674
MAST4_HUMAN,Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens GN=MAST4 PE=1 SV=3,16.3,98.7946,28.3147,16.41,3.9928,1.1443,NaN,NaN,NaN,13.48,23.3098,6.6806,14.97,64.9275,18.6084,12.57,56.7997,16.2789
1B39_HUMAN,HLA class I histocompatibility antigen_ B-39 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,32.87,NaN,NaN,NaN,NaN,NaN,12.43,NaN,NaN,20.99,NaN,NaN,20.99,NaN,NaN,50,NaN,NaN
STAU1_HUMAN,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens GN=STAU1 PE=1 SV=2,43.67,161.4377,10.2461,NaN,NaN,NaN,32.58,31.5853,2.0046,33.45,27.2598,1.7301,41.07,33.1667,2.105,40.21,127.0374,8.0627
NDUV1_HUMAN,NADH dehydrogenase [ubiquinone] flavoprotein 1_ mitochondrial OS=Homo sapiens GN=NDUFV1 PE=1 SV=4,32.76,180.7357,9.3082,NaN,NaN,NaN,15.09,53.613,2.7611,24.14,44.268,2.2799,32.54,32.6185,1.6799,35.56,76.2114,3.925
CBX1_HUMAN,Chromobox protein homolog 1 OS=Homo sapiens GN=CBX1 PE=1 SV=1,43.24,114.6464,2.4686,NaN,NaN,NaN,40,47.664,1.0263,25.95,9.5319,0.2052,36.76,12.5429,0.2701,42.16,24.7102,0.5321
OSBP1_HUMAN,Oxysterol-binding protein 1 OS=Homo sapiens GN=OSBP PE=1 SV=1,38.91,47.8783,4.3223,NaN,NaN,NaN,24.29,105.1657,9.494,14.99,32.1641,2.9037,21.69,25.3635,2.2897,24.66,35.3183,3.1884
NCPR_HUMAN,NADPH--cytochrome P450 reductase OS=Homo sapiens GN=POR PE=1 SV=2,38.85,74.9296,5.7805,22.9,40.9934,3.1625,NaN,NaN,NaN,23.78,28.9439,2.2329,25.7,55.5173,4.2829,30.28,60.9687,4.7035
CPSF7_HUMAN,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7 PE=1 SV=1,31,73.6746,3.8474,18.05,10.678,0.5576,20.38,20.5164,1.0714,NaN,NaN,NaN,21.44,31.272,1.6331,23.35,68.5405,3.5793
TOLIP_HUMAN,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=1 SV=1,33.58,60.3594,1.8416,8.39,21.9279,0.669,37.96,21.1776,0.6461,27.74,8.0832,0.2466,NaN,NaN,NaN,22.99,17.8705,0.5452
NEP1_HUMAN,Ribosomal RNA small subunit methyltransferase NEP1 OS=Homo sapiens GN=EMG1 PE=1 SV=4,59.02,182.7593,4.925,NaN,NaN,NaN,23.77,21.7548,0.5863,11.48,23.3936,0.6304,21.72,47.9197,1.2914,14.75,174.956,4.7148
SSBP_HUMAN,Single-stranded DNA-binding protein_ mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1,73.65,179.4544,3.0973,NaN,NaN,NaN,75,71.7577,1.2385,54.73,32.8406,0.5668,52.03,175.3084,3.0258,61.49,104.3294,1.8007
PIN4_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Homo sapiens GN=PIN4 PE=1 SV=1,55.73,93.1815,1.2922,16.79,55.0538,0.7634,55.73,17.0213,0.236,NaN,NaN,NaN,28.24,27.4529,0.3807,32.06,29.1076,0.4036
ENSA_HUMAN,Alpha-endosulfine OS=Homo sapiens GN=ENSA PE=1 SV=1,64.46,97.8402,1.31,NaN,NaN,NaN,66.94,16.2413,0.2175,14.88,13.8448,0.1854,56.2,23.3876,0.3131,47.93,35.6274,0.477
CA123_HUMAN,UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1,52.5,146.2316,2.6893,NaN,NaN,NaN,31.88,50.6744,0.9319,19.38,8.4582,0.1556,41.88,10.0149,0.1842,30,24.3847,0.4484
ENAH_HUMAN,Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2,40.1,118.4761,7.8934,NaN,NaN,NaN,18.78,25.0264,1.6674,26.4,21.814,1.4533,16.07,54.2989,3.6176,27.75,37.0293,2.4671
1B42_HUMAN,HLA class I histocompatibility antigen_ B-42 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,45.3,2.7386,0.1114,NaN,NaN,NaN,16.57,NaN,NaN,19.61,NaN,NaN,24.31,NaN,NaN,40.88,NaN,NaN
SR140_HUMAN,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens GN=U2SURP PE=1 SV=2,33.92,100.1003,11.8867,11.27,154.5319,18.3504,NaN,NaN,NaN,22.64,37.1176,4.4077,21.48,60.2155,7.1505,29.93,67.466,8.0115
EIF3K_HUMAN,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1,12.84,198.8246,5.0392,NaN,NaN,NaN,7.34,93.995,2.3823,17.43,45.6431,1.1568,11.01,139.3084,3.5308,15.14,113.6,2.8792
SORCN_HUMAN,Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1,38.89,243.1292,5.3395,NaN,NaN,NaN,33.33,55.9431,1.2286,33.84,63.1468,1.3868,26.26,44.3878,0.9748,48.99,89.8539,1.9733
DHYS_HUMAN,Deoxyhypusine synthase OS=Homo sapiens GN=DHPS PE=1 SV=1,31.44,62.504,2.5751,NaN,NaN,NaN,41.73,29.3442,1.2089,30.08,16.6184,0.6847,21.95,25.9488,1.0691,19.51,17.9241,0.7385
NSDHL_HUMAN,Sterol-4-alpha-carboxylate 3-dehydrogenase_ decarboxylating OS=Homo sapiens GN=NSDHL PE=1 SV=2,49.33,74.5871,3.1465,NaN,NaN,NaN,45.04,27.7637,1.1712,28.42,10.8097,0.456,31.1,12.0837,0.5098,34.32,26.9441,1.1366
YKT6_HUMAN,Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1,31.82,85.4163,1.9294,24.24,9.4098,0.2126,NaN,NaN,NaN,33.84,52.7345,1.1912,30.3,64.2115,1.4505,47.47,65.8435,1.4873
K1C12_HUMAN,Keratin_ type I cytoskeletal 12 OS=Homo sapiens GN=KRT12 PE=1 SV=1,14.17,59.3741,3.184,NaN,NaN,NaN,27.94,8.4223,0.4517,15.99,7.911,0.4242,20.45,0.6342,0.034,27.33,15.4878,0.8305
PRPF3_HUMAN,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens GN=PRPF3 PE=1 SV=2,28.7,207.534,16.1254,NaN,NaN,NaN,37.04,39.4748,3.0672,22.11,12.0985,0.9401,27.96,35.993,2.7967,24.74,25.0693,1.9479
MAK16_HUMAN,Protein MAK16 homolog OS=Homo sapiens GN=MAK16 PE=1 SV=2,46.67,123.2034,4.3997,NaN,NaN,NaN,39.67,13.3971,0.4784,36.67,24.1371,0.862,37.33,51.5201,1.8398,31.67,35.5179,1.2684
NNRE_HUMAN,NAD(P)H-hydrate epimerase OS=Homo sapiens GN=APOA1BP PE=1 SV=2,31.94,130.422,4.1757,14.58,79.3785,2.5414,27.43,61.4896,1.9687,NaN,NaN,NaN,27.08,30.491,0.9762,16.67,74.857,2.3967
DDX23_HUMAN,Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens GN=DDX23 PE=1 SV=3,30.73,167.2952,16.0478,NaN,NaN,NaN,49.27,56.5438,5.4239,27.32,26.0434,2.4982,28.41,44.4865,4.2674,26.46,42.1186,4.0402
CENPJ_HUMAN,Centromere protein J OS=Homo sapiens GN=CENPJ PE=1 SV=2,21.08,79.2671,12.2228,NaN,NaN,NaN,27.28,7.4296,1.1456,19.06,6.6964,1.0326,20.93,85.2096,13.1392,25.41,180.3267,27.806
KDM1A_HUMAN,Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2,16.43,40.2292,3.7581,NaN,NaN,NaN,23.83,22.5094,2.1027,18.54,19.4004,1.8123,33.22,17.0727,1.5949,25.7,52.2155,4.8778
FBX2_HUMAN,F-box only protein 2 OS=Homo sapiens GN=FBXO2 PE=1 SV=2,26.01,252.8171,8.5267,NaN,NaN,NaN,26.01,102.3973,3.4535,14.86,21.4619,0.7238,18.92,49.1278,1.6569,13.51,19.8159,0.6683
RPA34_HUMAN,DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens GN=CD3EAP PE=1 SV=1,23.53,15.7879,0.8726,NaN,NaN,NaN,19.61,19.6915,1.0884,14.12,9.8132,0.5424,12.94,89.8317,4.9651,19.02,21.6793,1.1982
LUZP1_HUMAN,Leucine zipper protein 1 OS=Homo sapiens GN=LUZP1 PE=1 SV=2,22.21,32.8863,3.9741,NaN,NaN,NaN,26.3,28.0848,3.3939,30.39,30.5046,3.6863,24.54,61.8968,7.4799,27.14,38.2735,4.6252
RT21_HUMAN,28S ribosomal protein S21_ mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2,39.08,48.15,0.5254,NaN,NaN,NaN,39.08,14.9577,0.1632,21.84,5.3503,0.0584,24.14,24.4873,0.2672,54.02,30.1178,0.3287
FA50B_HUMAN,Protein FAM50B OS=Homo sapiens GN=FAM50B PE=1 SV=1,40.62,180.2357,6.987,NaN,NaN,NaN,31.38,2.7087,0.105,40.92,3.4111,0.1322,20,3.4093,0.1322,27.69,97.9516,3.7972
DIM1_HUMAN,Probable dimethyladenosine transferase OS=Homo sapiens GN=DIMT1 PE=1 SV=1,34.82,102.1368,3.6281,23.32,3.1477,0.1118,NaN,NaN,NaN,26.84,12.1217,0.4306,25.88,40.2068,1.4282,37.7,51.2391,1.8201
NIP7_HUMAN,60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens GN=NIP7 PE=1 SV=1,35.56,195.1347,4.0264,67.22,146.9382,3.0319,20,42.2694,0.8722,NaN,NaN,NaN,25.56,42.2933,0.8727,38.89,44.3013,0.9141
SHC1_HUMAN,SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4,22.81,48.3398,3.0616,20.41,15.3182,0.9702,NaN,NaN,NaN,16.47,13.2408,0.8386,17.67,13.6285,0.8632,22.3,25.6156,1.6224
H11_HUMAN,Histone H1.1 OS=Homo sapiens GN=HIST1H1A PE=1 SV=3,25.12,28.5465,0.6235,NaN,NaN,NaN,50.23,8.8571,0.1935,26.51,1.8826,0.0411,32.56,32.7986,0.7164,37.67,6.7167,0.1467
LSR_HUMAN,Lipolysis-stimulated lipoprotein receptor OS=Homo sapiens GN=LSR PE=1 SV=4,41.14,115.1789,8.3596,NaN,NaN,NaN,28.66,36.5941,2.656,25.58,111.7447,8.1104,27.43,42.9239,3.1154,39.91,101.7894,7.3878
YTDC2_HUMAN,Probable ATP-dependent RNA helicase YTHDC2 OS=Homo sapiens GN=YTHDC2 PE=1 SV=2,18.95,31.6753,5.1211,31.12,15.6278,2.5266,19.79,71.4095,11.5451,NaN,NaN,NaN,13.64,53.9887,8.7286,14.13,25.5211,4.1261
SMRC2_HUMAN,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1,21.33,168.1517,22.4111,NaN,NaN,NaN,24.79,68.1405,9.0817,17.05,16.9276,2.2561,19.19,50.6464,6.7501,19.6,98.9201,13.184
LANC1_HUMAN,LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1,15.04,105.8506,4.8717,NaN,NaN,NaN,8.02,20.8202,0.9582,16.04,24.207,1.1141,12.78,22.1319,1.0186,10.78,48.8095,2.2464
ENOPH_HUMAN,Enolase-phosphatase E1 OS=Homo sapiens GN=ENOPH1 PE=1 SV=1,22.99,38.3424,1.1159,NaN,NaN,NaN,7.66,14.7779,0.4301,16.09,13.688,0.3984,9.58,18.4428,0.5368,15.33,23.9171,0.6961
NCEH1_HUMAN,Neutral cholesterol ester hydrolase 1 OS=Homo sapiens GN=NCEH1 PE=1 SV=3,15.44,40.1144,1.849,NaN,NaN,NaN,21.81,31.7115,1.4617,17.89,9.3998,0.4333,13.97,16.4995,0.7605,22.06,30.2535,1.3945
U2AF2_HUMAN,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4,34.74,229.0894,12.3349,NaN,NaN,NaN,26.11,104.6162,5.6329,16.63,35.911,1.9336,23.16,42.0698,2.2652,37.68,52.7192,2.8386
DNJA2_HUMAN,DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1,38.59,283.9672,13.1684,NaN,NaN,NaN,25.97,95.5177,4.4294,10.44,31.3689,1.4547,20.39,141.1797,6.5469,21.84,169.2071,7.8466
PLP2_HUMAN,Proteolipid protein 2 OS=Homo sapiens GN=PLP2 PE=1 SV=1,42.11,246.9669,4.2066,NaN,NaN,NaN,10.53,77.0457,1.3123,8.55,104.3051,1.7766,8.55,85.4412,1.4553,12.5,89.1636,1.5187
SRPK1_HUMAN,SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2,16.34,66.6686,5.0008,NaN,NaN,NaN,28.4,33.1419,2.4859,21.37,32.4418,2.4334,16.18,50.8574,3.8148,17.71,92.9509,6.9722
ILKAP_HUMAN,Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens GN=ILKAP PE=1 SV=1,16.58,59.6898,2.5951,21.17,35.6424,1.5496,NaN,NaN,NaN,17.09,20.7043,0.9002,28.83,36.6399,1.593,17.35,90.3647,3.9288
LACB2_HUMAN,Beta-lactamase-like protein 2 OS=Homo sapiens GN=LACTB2 PE=1 SV=2,31.25,55.5168,1.8371,32.29,1.5476,0.0512,21.88,24.9416,0.8253,NaN,NaN,NaN,34.38,13.4774,0.446,28.13,57.8645,1.9148
HLAE_HUMAN,HLA class I histocompatibility antigen_ alpha chain E OS=Homo sapiens GN=HLA-E PE=1 SV=3,21.79,7.4853,0.3023,NaN,NaN,NaN,24.3,5.5683,0.2249,26.54,103.6227,4.1848,10.61,0.7613,0.0307,42.46,7.1641,0.2893
PPP6_HUMAN,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=1 SV=1,24.59,80.3274,2.878,NaN,NaN,NaN,24.26,21.836,0.7824,16.39,20.1242,0.721,19.67,30.5759,1.0955,15.74,32.5339,1.1656
A20A1_HUMAN,Ankyrin repeat domain-containing protein 20A1 OS=Homo sapiens GN=ANKRD20A1 PE=2 SV=1,22.48,80.6419,7.6578,NaN,NaN,NaN,19.44,NaN,NaN,21.02,0.2031,0.0193,18.96,0.2736,0.026,17.25,22.2642,2.1142
COX5A_HUMAN,Cytochrome c oxidase subunit 5A_ mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2,43.33,110.0857,1.8641,NaN,NaN,NaN,20.67,26.1253,0.4424,26.67,5.5195,0.0935,24,86.4523,1.4639,33.33,55.737,0.9438
DDX10_HUMAN,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens GN=DDX10 PE=1 SV=2,29.83,99.0523,10.0271,31.31,8.5539,0.8659,NaN,NaN,NaN,17.94,33.7262,3.4141,35.89,142.3213,14.4072,29.49,68.8826,6.973
