protein.key,protein.Entry,protein.Accession,protein.Description,protein.dataBaseType,protein.score,protein.falsePositiveRate,protein.avgMass,protein.MatchedProducts,protein.matchedPeptides,protein.digestPeps,protein.seqCover(%),protein.MatchedPeptideIntenSum,protein.top3MatchedPeptideIntenSum,protein.MatchedProductIntenSum,protein.fmolOnColumn,protein.ngramOnColumn,protein.AutoCurate,protein.Key_ForHomologs
5853,sp|Q9NSB2|KRT84_HUMAN,Keratin_,type II cuticular Hb4 OS=Homo sapiens GN=KRT84 PE=2 SV=2,Regular,1996.2700,0.00,65983.0317,86,11,47,13.50,1295321,234555.6,676074,124.7225,8.2296,Green,4424 5639 5667 5668 5747 5748 5749 5804 5805 7234 8642 8643 8644 8645 8699 8818 8819 8857 8858 8859 8860 8861 9103 9354 12805 19316
8571,sp|P01591|IGJ_HUMAN,Immunoglobulin,J chain OS=Homo sapiens GN=JCHAIN PE=1 SV=4,Regular,1995.3050,0.00,18554.8268,24,5,11,25.79,35626,45169.5,11328,24.0184,0.4457,Green,
15824,sp|P21912|SDHB_HUMAN,Succinate,dehydrogenase [ubiquinone] iron-sulfur subunit_ mitochondrial OS=Homo sapiens GN=SDHB PE=1 SV=3,Regular,1989.2260,0.00,32428.1651,67,11,30,35.71,180692,128811,47103,68.4939,2.2211,Green,
13476,sp|P20336|RAB3A_HUMAN,Ras-related,protein Rab-3A OS=Homo sapiens GN=RAB3A PE=1 SV=1,Regular,1988.3570,0.00,25212.0635,36,5,16,26.82,157183,7982.534,106742,4.2446,0.1070,Green,13230 13231 13252 13263 13323 13325 13329 13385 13386 13387 13388 13389 13475 13477 13479 13508 14275 14276 14277
1968,sp|Q8TDN6|BRX1_HUMAN,Ribosome,biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2,Regular,1983.9980,0.00,41686.5676,72,8,26,32.58,169275,104155,28783,55.3833,2.3087,Green,
15905,sp|P0DME0|SETLP_HUMAN,Protein,SETSIP OS=Homo sapiens GN=SETSIP PE=1 SV=1,Regular,1972.7210,0.00,34882.4426,32,3,20,12.25,83487,0,21823,,,Green,15833
15833,sp|Q01105|SET_HUMAN,Protein,SET OS=Homo sapiens GN=SET PE=1 SV=3,Regular,1972.7210,0.00,33488.9056,32,3,17,12.76,83487,82609,21823,43.9265,1.4710,Green,15905
5033,sp|P55084|ECHB_HUMAN,Trifunctional,enzyme subunit beta_ mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3,Regular,1968.5200,0.00,51579.7167,95,15,41,31.65,252588,89374,45479,47.5237,2.4513,Green,
8433,sp|Q14974|IMB1_HUMAN,Importin,subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,Regular,1961.3940,0.00,98481.9966,157,20,62,24.54,423430,206556,104240,109.8340,10.8167,Green,
4554,sp|O15523|DDX3Y_HUMAN,ATP-dependent,RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2,Regular,1957.0050,0.00,73609.9588,110,15,69,20.61,319696,0,132344,,,Green,4190 4312 4358 4621
8597,sp|O43837|IDH3B_HUMAN,Isocitrate,dehydrogenase [NAD] subunit beta_ mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2,Regular,1956.8040,0.00,42468.9235,57,12,28,37.66,121107,59853,16974,31.8262,1.3516,Green,
16201,sp|P09012|SNRPA_HUMAN,U1,small nuclear ribonucleoprotein A OS=Homo sapiens GN=SNRPA PE=1 SV=3,Regular,1956.7490,0.00,31279.6446,72,7,16,26.24,168130,67876.53,24242,36.0926,1.1290,Green,15398
16409,sp|Q969G3|SMCE1_HUMAN,SWI/SNF-related,matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens GN=SMARCE1 PE=1 SV=2,Regular,1956.3740,0.00,46706.5437,83,14,31,38.69,124616,61506,31891,32.7052,1.5275,Green,12073
6727,sp|Q92945|FUBP2_HUMAN,Far,upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4,Regular,1953.1410,0.00,73400.5755,147,22,48,42.05,292947,112807,89632,59.9839,4.4029,Green,6726
4385,sp|P35659|DEK_HUMAN,Protein,DEK OS=Homo sapiens GN=DEK PE=1 SV=1,Regular,1947.2190,0.00,42959.4854,107,17,48,31.47,347085,156663,77319,83.3039,3.5787,Green,
575,sp|P02768|ALBU_HUMAN,Serum,albumin OS=Homo sapiens GN=ALB PE=1 SV=2,Regular,1941.8630,0.00,71362.7109,173,21,55,39.74,426340,165384,95890,87.9412,6.2757,Green,
7271,sp|Q9HAV0|GBB4_HUMAN,Guanine,nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3,Regular,1941.4450,0.00,38308.6165,55,7,22,16.18,203514,0,54776,,,Green,6993 7094 7150
367,sp|P30512|1A29_HUMAN,HLA,class I histocompatibility antigen_ A-29 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2,Regular,1928.5550,0.00,41148.0129,52,5,25,20.55,168635,0,56804,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 368 369 370 7809 8020
370,sp|P01891|1A68_HUMAN,HLA,class I histocompatibility antigen_ A-68 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=4,Regular,1927.7090,0.00,41193.9916,58,7,27,29.04,175859,0,56343,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 7809 8020
4086,sp|P35221|CTNA1_HUMAN,Catenin,alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1,Regular,1926.6770,0.00,100755.8099,239,29,74,34.88,441509,93330,88131,49.6273,5.0002,Green,4158 4221
12016,sp|Q9BPW8|NIPS1_HUMAN,Protein,NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1,Regular,1926.4990,0.00,33481.1258,43,6,26,23.59,107213,78856,31559,41.9309,1.4039,Green,
17539,sp|Q5QJE6|TDIF2_HUMAN,Deoxynucleotidyltransferase,terminal-interacting protein 2 OS=Homo sapiens GN=DNTTIP2 PE=1 SV=2,Regular,1920.0060,0.00,84868.3295,115,14,51,26.46,151875,61325,42256,32.6089,2.7675,Green,
14983,sp|Q8N983|RM43_HUMAN,39S,ribosomal protein L43_ mitochondrial OS=Homo sapiens GN=MRPL43 PE=1 SV=1,Regular,1918.8400,0.00,23715.9622,43,6,20,30.70,110696,83278,24430,44.2822,1.0502,Green,
4446,sp|Q16698|DECR_HUMAN,2_4-dienoyl-CoA,reductase_ mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1,Regular,1918.7460,0.00,36352.9034,73,12,29,38.21,86134,56589,21894,30.0906,1.0939,Green,
13064,sp|P60900|PSA6_HUMAN,Proteasome,subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1,Regular,1916.9320,0.00,27855.7166,39,6,20,32.11,115140,95264,19847,50.6556,1.4110,Green,
15115,sp|P46782|RS5_HUMAN,40S,ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4,Regular,1904.7450,0.00,23047.5179,63,8,16,21.08,272363,167438,66194,89.0334,2.0520,Green,14198
181,sp|Q15758|AAAT_HUMAN,Neutral,amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2,Regular,1899.6380,0.00,57054.6496,79,9,27,16.64,187609,113927,53313,60.5795,3.4563,Green,
2961,sp|Q14011|CIRBP_HUMAN,Cold-inducible,RNA-binding protein OS=Homo sapiens GN=CIRBP PE=1 SV=1,Regular,1889.1450,0.00,18648.0105,30,4,15,25.58,47434,36629,12527,19.4771,0.3632,Green,3524
3292,sp|E9PRG8|CK098_HUMAN,Uncharacterized,protein C11orf98 OS=Homo sapiens GN=C11orf98 PE=4 SV=1,Regular,1885.1620,0.00,13798.0751,21,3,5,21.31,77474,109812,23102,58.3914,0.8057,Green,
15100,sp|Q9Y2R9|RT07_HUMAN,28S,ribosomal protein S7_ mitochondrial OS=Homo sapiens GN=MRPS7 PE=1 SV=2,Regular,1878.6430,0.00,28248.1640,87,11,22,39.26,257452,103677,38249,55.1292,1.5573,Green,
17279,sp|Q12788|TBL3_HUMAN,Transducin,beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2,Regular,1878.0310,0.00,90403.4248,168,27,61,35.64,305173,102973,78746,54.7548,4.9500,Green,
14369,sp|Q9UHX1|PUF60_HUMAN,Poly(U)-binding-splicing,factor PUF60 OS=Homo sapiens GN=PUF60 PE=1 SV=1,Regular,1876.9440,0.00,60046.6993,132,18,31,39.89,254538,84866,57771,45.1266,2.7097,Green,
17452,sp|Q13885|TBB2A_HUMAN,Tubulin,beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,Regular,1873.9680,0.00,50306.2991,62,6,30,17.30,121244,0,34273,,,Green,17090 17091 17142 17167 17278 17326 17327 17378 17379
17167,sp|Q9BVA1|TBB2B_HUMAN,Tubulin,beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1,Regular,1873.9680,0.00,50409.4135,62,6,30,17.30,121244,0,34273,,,Green,17090 17091 17142 17278 17326 17327 17378 17379 17452
15171,sp|P51398|RT29_HUMAN,28S,ribosomal protein S29_ mitochondrial OS=Homo sapiens GN=DAP3 PE=1 SV=1,Regular,1869.1850,0.00,45908.6814,84,11,32,26.38,142326,79964,29468,42.5200,1.9520,Green,
10603,sp|Q5JQF8|PAP1M_HUMAN,Polyadenylate-binding,protein 1-like 2 OS=Homo sapiens GN=PABPC1L2A PE=2 SV=1,Regular,1861.5120,0.00,22970.1662,32,3,16,13.00,127310,0,44774,,,Green,10537 10600 10601 10861
10316,sp|P08559|ODPA_HUMAN,Pyruvate,dehydrogenase E1 component subunit alpha_ somatic form_ mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3,Regular,1860.5900,0.00,43980.0597,90,14,37,32.56,223489,105192,74864,55.9348,2.4600,Green,10315
4893,sp|O00148|DX39A_HUMAN,ATP-dependent,RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,Regular,1860.1970,0.00,49642.8698,84,9,37,21.55,265186,0,85516,,,Green,4920
7412,sp|P09471|GNAO_HUMAN,Guanine,nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens GN=GNAO1 PE=1 SV=4,Regular,1859.0520,0.00,40620.9178,46,5,28,19.21,162406,40268.08,69303,21.4121,0.8698,Green,7263 7264 7290 7341 7342 7411 7413 7455 7535
309,sp|P30510|1C14_HUMAN,HLA,class I histocompatibility antigen_ Cw-14 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=2,Regular,1853.6310,0.00,41293.9136,59,8,23,21.86,183003,0,52226,,,Green,34 35 37 38 39 40 41 42 43 93 94 95 96 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 305 306 307 308 310 366 367 368 369 370 371 7780 7809 7888 8020
7413,sp|Q5JWF2|GNAS1_HUMAN,Guanine,nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens GN=GNAS PE=1 SV=2,Regular,1842.5870,0.00,111766.0298,50,8,42,7.91,152692,0,57578,,,Green,7263 7264 7290 7341 7342 7411 7412 7455 7535
7263,sp|P63092|GNAS2_HUMAN,Guanine,nucleotide-binding protein G(s) subunit alpha isoforms short OS=Homo sapiens GN=GNAS PE=1 SV=1,Regular,1842.5870,0.00,46120.8637,50,8,28,20.81,152692,23287,57578,12.3826,0.5711,Green,7264 7290 7341 7342 7411 7412 7413 7455 7535
9305,sp|Q08380|LG3BP_HUMAN,Galectin-3-binding,protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1,Regular,1839.3610,0.00,66243.5215,106,16,39,25.64,183179,94204,47554,50.0920,3.3183,Green,
262,sp|P10314|1A32_HUMAN,HLA,class I histocompatibility antigen_ A-32 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2,Regular,1838.9780,0.00,41333.2566,53,5,25,20.55,172155,0,58747,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 261 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
223,sp|P30459|1A74_HUMAN,HLA,class I histocompatibility antigen_ A-74 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,Regular,1838.9780,0.00,41176.0416,53,5,26,20.55,172155,0,58747,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
11815,sp|Q16718|NDUA5_HUMAN,NADH,dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens GN=NDUFA5 PE=1 SV=3,Regular,1833.2020,0.00,13515.7432,34,5,8,36.21,76806,64246,13294,34.1621,0.4617,Green,
11014,sp|P19105|ML12A_HUMAN,Myosin,regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2,Regular,1833.0390,0.00,19851.2188,49,8,19,43.86,170721,141849,14681,75.4267,1.4973,Green,10248 11730
10248,sp|O14950|ML12B_HUMAN,Myosin,regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2,Regular,1833.0390,0.00,19836.2475,49,8,19,43.60,170721,0,14681,,,Green,11014 11730
5435,sp|Q58FF8|H90B2_HUMAN,Putative,heat shock protein HSP 90-beta 2 OS=Homo sapiens GN=HSP90AB2P PE=1 SV=2,Regular,1829.8640,0.00,44520.0932,58,7,44,14.17,258670,25838.63,68452,13.7394,0.6117,Green,5387 7739 7740 7829 8190
10301,sp|P61326|MGN_HUMAN,Protein,mago nashi homolog OS=Homo sapiens GN=MAGOH PE=1 SV=1,Regular,1828.3960,0.00,17220.6733,39,7,16,47.26,76119,53420,25449,28.4055,0.4892,Green,10269
10269,sp|Q96A72|MGN2_HUMAN,Protein,mago nashi homolog 2 OS=Homo sapiens GN=MAGOHB PE=1 SV=1,Regular,1828.3960,0.00,17332.8480,39,7,16,46.62,76119,0,25449,,,Green,10301
16383,sp|O60264|SMCA5_HUMAN,SWI/SNF-related,matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1,Regular,1823.7230,0.00,122589.9251,272,46,94,37.83,614432,114097,152596,60.6699,7.4375,Green,16033
14898,sp|Q96A35|RM24_HUMAN,39S,ribosomal protein L24_ mitochondrial OS=Homo sapiens GN=MRPL24 PE=1 SV=1,Regular,1819.8490,0.00,25028.9332,46,9,21,39.35,46306,23732,17062,12.6192,0.3158,Green,
4130,sp|P35222|CTNB1_HUMAN,Catenin,beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,Regular,1812.8770,0.00,86124.1046,144,17,54,24.97,250175,87719,67237,46.6437,4.0171,Green,13931
13069,sp|O95758|PTBP3_HUMAN,Polypyrimidine,tract-binding protein 3 OS=Homo sapiens GN=PTBP3 PE=1 SV=2,Regular,1810.2900,0.00,59974.7856,80,10,31,24.82,487161,17475.05,106730,9.2922,0.5573,Green,3518 13078
13145,sp|O75475|PSIP1_HUMAN,PC4,and SFRS1-interacting protein OS=Homo sapiens GN=PSIP1 PE=1 SV=1,Regular,1810.0980,0.00,60217.3887,108,16,55,29.43,234227,112286,34073,59.7069,3.5954,Green,
7054,sp|Q8TAE8|G45IP_HUMAN,Growth,arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1,Regular,1805.8570,0.00,25440.9019,67,10,21,48.20,86051,47286,20026,25.1438,0.6397,Green,
14221,sp|Q8WWY3|PRP31_HUMAN,U4/U6,small nuclear ribonucleoprotein Prp31 OS=Homo sapiens GN=PRPF31 PE=1 SV=2,Regular,1804.0940,0.00,55684.2661,82,11,32,24.25,287349,155361,29025,82.6116,4.6002,Green,
15986,sp|Q9BWJ5|SF3B5_HUMAN,Splicing,factor 3B subunit 5 OS=Homo sapiens GN=SF3B5 PE=1 SV=1,Regular,1797.4870,0.00,10249.4458,27,4,6,45.35,53510,45870,7144,24.3909,0.2500,Green,
8269,sp|P01876|IGHA1_HUMAN,Immunoglobulin,heavy constant alpha 1 OS=Homo sapiens GN=IGHA1 PE=1 SV=2,Regular,1791.6320,0.00,38510.0827,57,8,23,35.69,187554,152084,51670,80.8691,3.1143,Green,8569
4998,sp|P55265|DSRAD_HUMAN,Double-stranded,RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4,Regular,1784.5710,0.00,137264.1601,209,32,94,28.47,409500,101788,94334,54.1247,7.4294,Green,
1842,sp|Q6NZI2|CAVN1_HUMAN,Caveolae-associated,protein 1 OS=Homo sapiens GN=CAVIN1 PE=1 SV=1,Regular,1781.7980,0.00,43476.1900,107,11,27,31.28,218948,129501,47818,68.8608,2.9938,Green,
1204,sp|O15144|ARPC2_HUMAN,Actin-related,protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,Regular,1781.5160,0.00,34447.1282,37,7,37,19.67,139168,113012,39441,60.0930,2.0700,Green,
16109,sp|Q96DI7|SNR40_HUMAN,U5,small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens GN=SNRNP40 PE=1 SV=1,Regular,1779.3810,0.00,39766.8083,70,9,24,37.82,142412,104494,33487,55.5636,2.2096,Green,
13479,sp|P20338|RAB4A_HUMAN,Ras-related,protein Rab-4A OS=Homo sapiens GN=RAB4A PE=1 SV=3,Regular,1779.0120,0.00,24674.8207,22,2,23,11.47,125476,0,98450,,,Green,13230 13231 13252 13263 13323 13325 13329 13385 13387 13388 13389 13475 13476 13477 13508 14275 14276 14277
13230,sp|P61018|RAB4B_HUMAN,Ras-related,protein Rab-4B OS=Homo sapiens GN=RAB4B PE=1 SV=1,Regular,1779.0120,0.00,23871.8898,22,2,20,11.74,125476,3610.5,98450,1.9198,0.0458,Green,13231 13252 13263 13323 13325 13329 13385 13387 13388 13389 13475 13476 13477 13479 13508 14275 14276 14277
18092,sp|P12270|TPR_HUMAN,Nucleoprotein,TPR OS=Homo sapiens GN=TPR PE=1 SV=3,Regular,1775.0250,0.00,267692.3217,559,88,200,41.85,1038471,124639,210878,66.2755,17.7414,Green,
8861,sp|P08729|K2C7_HUMAN,Keratin_,type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5,Regular,1767.2280,0.00,51442.7715,106,12,38,21.96,1198541,12773.93,653830,6.7924,0.3494,Green,4424 5639 5667 5668 5747 5748 5749 5804 5805 5853 7234 8642 8643 8644 8645 8699 8818 8819 8857 8858 8859 8860 9103 9354 12805 19316
10097,sp|P33993|MCM7_HUMAN,DNA,replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4,Regular,1765.3690,0.00,81935.4188,161,23,66,39.08,297924,83114,76239,44.1950,3.6211,Green,
369,sp|P30453|1A34_HUMAN,HLA,class I histocompatibility antigen_ A-34 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,Regular,1762.7730,0.00,41340.0509,45,4,28,15.89,163268,0,54129,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 370 7809 8020
261,sp|P30450|1A26_HUMAN,HLA,class I histocompatibility antigen_ A-26 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2,Regular,1762.7730,0.00,41347.0081,45,4,27,15.89,163268,0,54129,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
222,sp|P30456|1A43_HUMAN,HLA,class I histocompatibility antigen_ A-43 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,Regular,1762.7730,0.00,41318.0069,45,4,27,15.89,163268,0,54129,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
221,sp|P16189|1A31_HUMAN,HLA,class I histocompatibility antigen_ A-31 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2,Regular,1762.7730,0.00,41289.1363,45,4,25,15.89,163268,0,54129,,,Green,34 35 37 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 222 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
39,sp|P30457|1A66_HUMAN,HLA,class I histocompatibility antigen_ A-66 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,Regular,1762.7730,0.00,41367.0362,45,4,27,15.89,163268,0,54129,,,Green,34 35 37 38 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
37,sp|P18462|1A25_HUMAN,HLA,class I histocompatibility antigen_ A-25 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,Regular,1762.7730,0.00,41503.2359,45,4,27,15.89,163268,0,54129,,,Green,34 35 38 39 40 41 43 95 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 228 229 230 233 234 235 260 261 262 263 264 265 266 268 269 270 271 272 273 274 276 277 278 279 305 306 307 308 309 310 366 367 368 369 370 7809 8020
10669,sp|O00541|PESC_HUMAN,Pescadillo,homolog OS=Homo sapiens GN=PES1 PE=1 SV=1,Regular,1756.9790,0.00,68401.9205,124,15,48,20.92,282782,116752,79765,62.0817,4.2465,Green,
8751,sp|P19012|K1C15_HUMAN,Keratin_,type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3,Regular,1754.1580,0.00,49439.9298,87,8,42,12.06,1255399,216473,497182,115.1073,5.6909,Green,5597 5637 5745 5746 5807 8638 8639 8640 8695 8696 8697 8698 8754 8855 8888 9013 9102 9233 9351 9352
16620,sp|P08240|SRPRA_HUMAN,Signal,recognition particle receptor subunit alpha OS=Homo sapiens GN=SRPRA PE=1 SV=2,Regular,1752.6920,0.00,70267.5339,128,21,49,42.63,279623,131497,46987,69.9222,4.9133,Green,
13729,sp|Q9NRX1|PNO1_HUMAN,RNA-binding,protein PNO1 OS=Homo sapiens GN=PNO1 PE=1 SV=1,Regular,1750.9770,0.00,28095.3940,39,6,21,21.03,36128,22974,10480,12.2162,0.3432,Green,
10234,sp|P25205|MCM3_HUMAN,DNA,replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,Regular,1748.1940,0.00,91608.2523,172,24,78,30.69,367494,137360,92905,73.0397,6.6910,Green,
19228,sp|Q9Y277|VDAC3_HUMAN,Voltage-dependent,anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1,Regular,1746.9900,0.00,31000.8661,49,10,19,38.16,90048,57491,11411,30.5702,0.9477,Green,19059 19243
9872,sp|P10253|LYAG_HUMAN,Lysosomal,alpha-glucosidase OS=Homo sapiens GN=GAA PE=1 SV=4,Regular,1746.9430,0.00,106179.3617,106,14,61,21.85,233400,140540,67396,74.7307,7.9349,Green,
11753,sp|O75306|NDUS2_HUMAN,NADH,dehydrogenase [ubiquinone] iron-sulfur protein 2_ mitochondrial OS=Homo sapiens GN=NDUFS2 PE=1 SV=2,Regular,1744.8190,0.00,52944.9687,87,13,31,31.53,152957,79007,34946,42.0112,2.2243,Green,
18462,sp|O75643|U520_HUMAN,U5,small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,Regular,1743.1790,0.00,246161.8660,364,54,177,26.73,897551,189098,224692,100.5509,24.7518,Green,
17061,sp|Q13148|TADBP_HUMAN,TAR,DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1,Regular,1737.6430,0.00,45082.0977,48,7,19,16.91,105204,76772,24092,40.8227,1.8404,Green,
6915,sp|Q00688|FKBP3_HUMAN,Peptidyl-prolyl,cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1,Regular,1737.3090,0.00,25233.8851,44,7,19,33.04,90409,51864,11206,27.5781,0.6959,Green,
19152,sp|P17480|UBF1_HUMAN,Nucleolar,transcription factor 1 OS=Homo sapiens GN=UBTF PE=1 SV=1,Regular,1735.5810,0.00,89748.2917,175,26,76,29.32,288234,88907,67752,47.2754,4.2429,Green,
235,sp|Q29865|1C18_HUMAN,HLA,class I histocompatibility antigen_ Cw-18 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1,Regular,1733.6840,0.00,41389.1509,56,8,24,21.86,175527,0,49950,,,Green,34 35 37 38 39 40 41 42 43 93 94 95 96 97 98 99 100 101 102 103 104 193 194 221 222 223 224 225 226 227 228 229 230 231 232 233 234 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 305 306 307 308 309 310 366 367 369 370 371 7780 7809 7888 8020
16222,sp|Q9Y6A9|SPCS1_HUMAN,Signal,peptidase complex subunit 1 OS=Homo sapiens GN=SPCS1 PE=1 SV=4,Regular,1724.8920,0.00,11861.8768,13,2,6,31.37,11889,17833.5,5415,9.4828,0.1125,Green,
8857,sp|Q7Z794|K2C1B_HUMAN,Keratin_,type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3,Regular,1710.6280,0.00,62186.6485,74,10,44,16.96,638375,12135.37,240368,6.4529,0.4013,Green,5639 5666 5667 5668 5747 5748 5749 5853 8642 8643 8644 8645 8699 8818 8819 8858 8859 8860 8861
19080,sp|Q9BVJ6|UT14A_HUMAN,U3,small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens GN=UTP14A PE=1 SV=1,Regular,1707.6390,0.00,88149.0472,154,24,73,36.19,381851,51661,100410,27.4702,2.4215,Green,9881 19169
11585,sp|O95168|NDUB4_HUMAN,NADH,dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens GN=NDUFB4 PE=1 SV=3,Regular,1707.1600,0.00,15265.6426,27,6,9,45.74,45068,38955,15982,20.7139,0.3162,Green,
14105,sp|Q9Y3C6|PPIL1_HUMAN,Peptidyl-prolyl,cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1,Regular,1705.8960,0.00,18350.9276,28,4,12,33.13,36281,35036,11219,18.6300,0.3419,Green,
